timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1733504273503,438,https://practice.expandtesting.com/login-13,200,OK,Thread Group 1-2,text,true,,797,708,2,2,https://practice.expandtesting.com/script/script.js,438,0,142
1733504273553,580,https://practice.expandtesting.com/login-14,200,OK,Thread Group 1-2,text,true,,46336,718,2,2,https://practice.expandtesting.com/socket.io/socket.io.min.js,420,0,124
1733504275651,2411,https://practice.expandtesting.com/login,200,OK,Thread Group 1-3,text,true,,1130232,10198,3,3,https://practice.expandtesting.com/login,484,0,186
1733504275651,505,https://practice.expandtesting.com/login-0,200,OK,Thread Group 1-3,text,true,,12339,612,3,3,https://practice.expandtesting.com/login,484,0,186
1733504276214,427,https://practice.expandtesting.com/login-1,200,OK,Thread Group 1-3,bin,true,,1475,717,3,3,https://practice.expandtesting.com/assets/images/favicon.png,418,0,123
1733504276215,554,https://practice.expandtesting.com/login-2,200,OK,Thread Group 1-3,text,true,,221548,650,3,3,https://cdn.jsdelivr.net/npm/bootstrap@5.3.0-alpha1/dist/css/bootstrap.min.css,223,0,141
1733504276214,664,https://practice.expandtesting.com/login-3,200,OK,Thread Group 1-3,text,true,,4730,722,3,3,https://practice.expandtesting.com/assets/css/main.css?v=da0276bd,307,0,0
1733504276214,326,https://practice.expandtesting.com/login-4,200,OK,Thread Group 1-3,text,true,,90557,615,3,3,https://code.jquery.com/jquery-3.6.3.min.js,208,0,138
1733504276216,594,https://practice.expandtesting.com/login-5,200,OK,Thread Group 1-3,text,true,,80563,648,3,3,https://cdn.jsdelivr.net/npm/bootstrap@5.2.0/dist/js/bootstrap.bundle.min.js,227,0,142
1733504276218,117,https://practice.expandtesting.com/login-6,200,OK,Thread Group 1-3,text,true,,20164,645,3,3,https://cdnjs.cloudflare.com/ajax/libs/popper.js/1.12.9/umd/popper.min.js,116,0,40
1733504276336,423,https://practice.expandtesting.com/login-7,200,OK,Thread Group 1-3,text,true,,422778,628,3,3,https://www.googletagmanager.com/gtag/js?id=G-90GRT6N40B,212,0,116
1733504276541,442,https://practice.expandtesting.com/login-8,200,OK,Thread Group 1-3,text,true,,160233,665,3,3,https://pagead2.googlesyndication.com/pagead/js/adsbygoogle.js?client=ca-pub-1056034821646296,206,0,127
1733504276641,1421,https://practice.expandtesting.com/login-9,200,OK,Thread Group 1-3,text,true,,2407,714,3,3,https://practice.expandtesting.com/assets/images/logo.svg,1418,0,1123
1733504276760,827,https://practice.expandtesting.com/login-10,200,OK,Thread Group 1-3,bin,true,,60117,710,3,3,https://practice.expandtesting.com/img/auth-login.png,413,0,110
1733504276811,453,https://practice.expandtesting.com/login-11,200,OK,Thread Group 1-3,text,true,,3227,737,3,3,https://practice.expandtesting.com/assets/plugins/back-to-top/back-to-top.min.js,451,0,156
1733504276811,431,https://practice.expandtesting.com/login-12,200,OK,Thread Group 1-3,text,true,,2875,709,3,3,https://practice.expandtesting.com/assets/js/main.js,430,0,119
1733504276878,411,https://practice.expandtesting.com/login-13,200,OK,Thread Group 1-3,text,true,,797,708,3,3,https://practice.expandtesting.com/script/script.js,411,0,117
1733504276984,607,https://practice.expandtesting.com/login-14,200,OK,Thread Group 1-3,text,true,,46422,718,3,3,https://practice.expandtesting.com/socket.io/socket.io.min.js,501,0,143
1733504280359,1695,https://practice.expandtesting.com/authenticate,200,OK,Thread Group 1-1,text,true,,597281,12247,3,3,https://practice.expandtesting.com/secure,423,0,127
1733504280359,423,https://practice.expandtesting.com/authenticate-0,302,Found,Thread Group 1-1,text,true,,722,823,3,3,https://practice.expandtesting.com/authenticate,423,0,127
1733504280783,317,https://practice.expandtesting.com/authenticate-1,200,OK,Thread Group 1-1,text,true,,10032,835,3,3,https://practice.expandtesting.com/secure,298,0,0
1733504281160,294,https://practice.expandtesting.com/authenticate-2,304,Not Modified,Thread Group 1-1,,true,,242,884,3,3,https://practice.expandtesting.com/assets/images/favicon.png,0,0,0
1733504281159,67,https://practice.expandtesting.com/authenticate-3,304,Not Modified,Thread Group 1-1,,true,,363,753,3,3,https://cdn.jsdelivr.net/npm/bootstrap@5.3.0-alpha1/dist/css/bootstrap.min.css,0,0,0
1733504281160,435,https://practice.expandtesting.com/authenticate-4,304,Not Modified,Thread Group 1-1,,true,,243,890,3,3,https://practice.expandtesting.com/assets/css/main.css?v=da0276bd,0,0,138
1733504281161,76,https://practice.expandtesting.com/authenticate-5,304,Not Modified,Thread Group 1-1,,true,,341,747,3,3,https://code.jquery.com/jquery-3.6.3.min.js,0,0,0
1733504281163,68,https://practice.expandtesting.com/authenticate-6,304,Not Modified,Thread Group 1-1,,true,,362,751,3,3,https://cdn.jsdelivr.net/npm/bootstrap@5.2.0/dist/js/bootstrap.bundle.min.js,0,0,0
1733504281162,69,https://practice.expandtesting.com/authenticate-7,304,Not Modified,Thread Group 1-1,,true,,892,778,3,3,https://cdnjs.cloudflare.com/ajax/libs/popper.js/1.12.9/umd/popper.min.js,0,0,0
1733504281227,456,https://practice.expandtesting.com/authenticate-8,200,OK,Thread Group 1-1,text,true,,422768,677,3,3,https://www.googletagmanager.com/gtag/js?id=G-90GRT6N40B,207,0,107
1733504281232,158,https://practice.expandtesting.com/authenticate-9,200,OK,Thread Group 1-1,text,true,,160235,750,3,3,https://pagead2.googlesyndication.com/pagead/js/adsbygoogle.js?client=ca-pub-1056034821646296,78,0,0
1733504281233,463,https://practice.expandtesting.com/authenticate-10,304,Not Modified,Thread Group 1-1,,true,,242,881,3,3,https://practice.expandtesting.com/assets/images/logo.svg,0,0,143
1733504281237,410,https://practice.expandtesting.com/authenticate-11,304,Not Modified,Thread Group 1-1,,true,,242,904,3,3,https://practice.expandtesting.com/assets/plugins/back-to-top/back-to-top.min.js,0,0,115
1733504281391,546,https://practice.expandtesting.com/authenticate-12,304,Not Modified,Thread Group 1-1,,true,,242,876,3,3,https://practice.expandtesting.com/assets/js/main.js,0,0,117
1733504281455,378,https://practice.expandtesting.com/authenticate-13,304,Not Modified,Thread Group 1-1,,true,,242,875,3,3,https://practice.expandtesting.com/script/script.js,0,0,0
1733504281595,460,https://practice.expandtesting.com/authenticate-14,304,Not Modified,Thread Group 1-1,,true,,113,823,3,3,https://practice.expandtesting.com/socket.io/socket.io.min.js,0,0,159
1733504268981,4779,Test,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-1,,true,,1727577,22445,3,3,null,1414,8300,575
1733504280487,1753,https://practice.expandtesting.com/authenticate,200,OK,Thread Group 1-2,text,true,,597289,12247,2,2,https://practice.expandtesting.com/secure,454,0,157
1733504280487,454,https://practice.expandtesting.com/authenticate-0,302,Found,Thread Group 1-2,text,true,,722,823,2,2,https://practice.expandtesting.com/authenticate,454,0,157
1733504280943,314,https://practice.expandtesting.com/authenticate-1,200,OK,Thread Group 1-2,text,true,,10032,835,2,2,https://practice.expandtesting.com/secure,297,0,0
1733504281296,295,https://practice.expandtesting.com/authenticate-2,304,Not Modified,Thread Group 1-2,,true,,242,884,2,2,https://practice.expandtesting.com/assets/images/favicon.png,0,0,0
1733504281298,71,https://practice.expandtesting.com/authenticate-3,304,Not Modified,Thread Group 1-2,,true,,363,753,2,2,https://cdn.jsdelivr.net/npm/bootstrap@5.3.0-alpha1/dist/css/bootstrap.min.css,0,0,0
